latitude,longitude,name,country,placeID,Rcuisine,location,cuisine
18.915421,-99.184871,Kiku Cuernavaca,Mexico,134999,Japanese,,
22.1473922,-100.983092,puesto de tacos,mexico,132825,Mexican,,
22.1497088,-100.9760928,El Rinc�n de San Francisco,Mexico,135106,Mexican,,
23.7526973,-99.1633594,little pizza Emilio Portes Gil,?,132667,Armenian,,
23.7529035,-99.165076,carnitas_mata,Mexico,132613,Mexican,,
23.7543569,-99.171288,Taqueria EL amigo ,Mexico,132732,Mexican,,
22.1499013,-100.9937793,shi ro ie,?,132875,Japanese,,
23.7602683,-99.1658646,Pollo_Frito_Buenos_Aires,Mexico,132609,Fast_Food,,
22.140129,-100.944872,Abondance Restaurante Bar,Mexico,135069,Bar,,
22.141421,-101.013955,Mcdonalds Parque Tangamanga,Mexico,135086,"Burgers, Fast_Food",,
22.1430781,-100.9354788,Tortas y hamburguesas el gordo,Mexico,132870,Burgers,,
22.1378633,-100.9383273,Sirlone,Mexico,132854,International,,
22.1500193,-100.9799203,rockabilly ,mexico,132937,Bar,,
22.1513782,-100.9746337,Unicols Pizza,Mexico,132856,Italian,,
23.738212,-99.1519547,TACOS EL GUERO,mexico,132668,Mexican,,
22.1506429,-100.9870148,La Posada del Virrey,Mexico,132862,International,,
18.948657,-99.235361,Restaurant and Bar and Clothesline Carlos N Charlies,Mexico,134983,"Bar, Bar_Pub_Brewery",,
22.136872,-100.9345736,KFC,Mexico,132851,"American, Game",,
22.159357,-100.973411,Restaurant Oriental Express,Mexico,135042,Chinese,,
18.9257734,-99.2326355,Mariscos Tia Licha,mexico,132768,Family,,
22.140626,-100.915657,Restaurante y Pescaderia Tampico,Mexico,135054,Seafood,,
22.178931,-101.012861,La Fontana Pizza Restaurante and Cafe,Mexico,135053,"Cafeteria, Fast_Food, Pizzeria",,
22.14955,-100.97797,El Rincon de San Francisco,Mexico,135025,Mexican,,
22.14788,-100.989472,Preambulo Wifi Zone Cafe,Mexico,135030,"Cafe-Coffee_Shop, Cafeteria",,
22.145992,-100.955118,El Herradero Restaurante and Bar,Mexico,135057,Bar,,
22.156376,-100.998355,Koye Sushi,Mexico,135079,Chinese,,
22.1603808,-100.9880447,la parroquia,?,132954,Breakfast-Brunch,,
22.15106,-100.977659,Luna Cafe,Mexico,135041,"Bar, Cafeteria",,
23.7588052,-99.1651297,Hamburguesas La perica,Mexico,132608,Mexican,,
22.141282,-101.002958,Restaurante El Reyecito,Mexico,135046,Fast_Food,,
22.1412384,-100.9239252,Dominos Pizza,Mexico,132869,Pizzeria,,
22.1534997,-100.976243,el pueblito,?,132925,Mexican,,
22.147622,-101.0102749,emilianos,?,132955,Bar_Pub_Brewery,,
22.145108,-100.989547,Restaurant Bar Hacienda los Martinez,Mexico,135059,Bar,,
22.140517,-101.021422,Michiko Restaurant Japones,Mexico,135034,Japanese,,
22.156883,-100.978485,Restaurante Marisco Sam,Mexico,135060,Seafood,,
22.148854,-101.008472,la Cochinita Pibil Restaurante Yucateco,Mexico,135055,Mexican,,
22.149689,-100.999525,Restaurante la Parroquia Potosina,Mexico,135074,Contemporary,,
18.859803,-99.222164,El Oceano Dorado,Mexico,135018,Mexican,,
22.1489337,-101.019845,Gordas de morales,Mexico,132723,Mexican,,
18.933537,-99.222497,Subway,Mexico,135021,Fast_Food,,
22.150981,-100.977412,La Cantina Restaurante,Mexico,135052,"Bar, Bar_Pub_Brewery",,
22.1262926,-100.9007764,Cenaduria El Rincón de Tlaquepaque,mexico,132845,Mexican,,
22.1312917,-100.9371941,Hamburguesas Valle Dorado,Mexico,132858,Burgers,,
22.148665,-101.001273,la Cantina,Mexico,135026,"Bar, Bar_Pub_Brewery",,
23.7529821,-99.1684341,vips,?,135104,Mexican,,
23.7529305,-99.1644725,palomo tec,?,132630,Mexican,,
22.1544736,-100.9858091,VIPS,Mexico,132951,American,,
23.7367977,-99.1342413,TACOS CORRECAMINOS,mexico,132665,Mexican,,
22.141848,-100.997475,Restaurant Wu Zhuo Yi,Mexico,135044,Chinese,,
22.145813,-101.018032,El Mundo de la Pasta,Mexico,135035,Italian,,
22.126375,-100.910926,Restaurante la Cantina,Mexico,135071,"Bar, Bar_Pub_Brewery",,
22.156469,-100.98554,Gorditas Doa Gloria,mexico,132834,Mexican,,
22.1422732,-100.9426537,el lechon potosino ,mexico,132846,International,,
22.142017,-100.999246,Restaurante Bar Fu-hao,Mexico,135048,Bar,,
23.7318602,-99.1504365,tortas hawai,?,132717,Fast_Food,,
22.1480965,-101.0173023,Carls Jr,Mexico,132861,Burgers,,
22.1795169,-100.9584358,Hamburguesas saul,mexico,132885,Cafeteria,,
23.7521965,-99.1666317,Carreton de Flautas y Migadas,Mexico,132740,Mexican,,
18.8699929,-99.2103195,El cotorreo,?,132773,"Family, Mexican",,
23.7292162,-99.1323571,Gorditas Dona Tota,Mexico,132706,Mexican,,
22.1735955,-100.9946027,Pizzeria Julios,?,132872,American,,
